school ,tot,min,dis,stw
LOUIS M KLEIN MIDDLE SCHOOL,862,0.27,0.15,0
JAMESVILLE-DEWITT MIDDLE SCHOOL,947,0.22,0.15,0
ICHABOD CRANE MIDDLE SCHOOL,443,0.10,0.15,0
KODA MIDDLE SCHOOL,845,0.18,0.15,0
GREAT NECK NORTH MIDDLE SCHOOL,775,0.19,0.15,0
LAGRANGE MIDDLE SCHOOL,813,0.16,0.15,0
SEAFORD MIDDLE SCHOOL,571,0.09,0.15,0
CARLE PLACE MIDDLE SENIOR HIGH SCHOOL,681,0.21,0.15,0
MAPLE GROVE JUNIOR HIGH SCHOOL,116,0.08,0.16,0
SOUTHOLD JUNIOR-SENIOR HIGH SCHOOL,448,0.13,0.16,0
ELWOOD MIDDLE SCHOOL,608,0.27,0.16,0
EAST SIDE MIDDLE SCHOOL,466,0.28,0.16,0
BULKELEY MIDDLE SCHOOL,287,0.10,0.16,0
BABYLON JUNIOR-SENIOR HIGH SCHOOL,819,0.18,0.16,0
ALGONQUIN MIDDLE SCHOOL,750,0.04,0.16,0
EAST ISLIP MIDDLE SCHOOL,1035,0.16,0.16,0
CAZENOVIA MIDDLE SCHOOL,385,0.05,0.16,0
EDEN JUNIOR-SENIOR HIGH SCHOOL,801,0.03,0.17,0
HAMBURG MIDDLE SCHOOL,911,0.04,0.17,0
PAWLING MIDDLE SCHOOL,401,0.15,0.17,0
BLOOMFIELD MIDDLE SCHOOL,238,0.04,0.17,0
SUFFERN MIDDLE SCHOOL,1106,0.29,0.17,0
STARPOINT MIDDLE SCHOOL,596,0.05,0.17,0
CAMILLUS MIDDLE SCHOOL,506,0.07,0.17,0
MONROE-WOODBURY MIDDLE SCHOOL,1770,0.32,0.17,0
TAMARAC MIDDLE SCHOOL HIGH SCHOOL,711,0.05,0.18,0
MAPLE AVENUE MIDDLE SCHOOL,1626,0.08,0.18,0
HOLLAND JUNIOR/SENIOR HIGH SCHOOL,461,0.02,0.18,0
ISLAND TREES MIDDLE SCHOOL,741,0.23,0.18,0
PUTNAM VALLEY MIDDLE SCHOOL,560,0.18,0.18,0
SAMOSET MIDDLE SCHOOL,913,0.18,0.18,0
GEORGE FISCHER MIDDLE SCHOOL,1372,0.23,0.18,0
FOX LANE MIDDLE SCHOOL,1010,0.32,0.18,0
MAPLE HILL MIDDLE SCHOOL,215,0.08,0.18,0
HENRY H WELLS MIDDLE SCHOOL,759,0.27,0.18,0
LEWISTON PORTER MIDDLE SCHOOL,510,0.06,0.19,0
MINEOLA MIDDLE SCHOOL,590,0.34,0.19,0
NEW PALTZ MIDDLE SCHOOL,525,0.22,0.19,0
C S DRIVER MIDDLE SCHOOL,732,0.03,0.19,0
CLINTON MIDDLE SCHOOL,307,0.09,0.19,0
MILLBROOK MIDDLE SCHOOL,275,0.12,0.19,0
SPRY MIDDLE SCHOOL,1028,0.15,0.19,0
ROCKY POINT MIDDLE SCHOOL,794,0.12,0.19,0
ORVILLE A TODD MIDDLE SCHOOL,391,0.39,0.20,0
MINISINK VALLEY MIDDLE SCHOOL,1012,0.20,0.20,0
VERONICA E CONNOR MIDDLE SCHOOL,745,0.10,0.20,0
SENECA MIDDLE SCHOOL,768,0.13,0.20,0
BLUE MOUNTAIN MIDDLE SCHOOL,619,0.36,0.20,0
SAGAMORE MIDDLE SCHOOL,867,0.19,0.20,0
LINDEN AVENUE MIDDLE SCHOOL,462,0.12,0.20,0
THEODORE R DURGEE JUNIOR HIGH SCHOOL,972,0.10,0.20,0
VESTAL MIDDLE SCHOOL,863,0.14,0.21,0
CHAZY CENTRAL RURAL JUNIOR-SENIOR HIGH SCHOOL,236,0.03,0.21,0
LISHA KILL MIDDLE SCHOOL,662,0.23,0.21,0
DUANESBURG MIDDLE SCHOOL,209,0.05,0.21,0
GENESEO MIDDLE SCHOOL HIGH SCHOOL,478,0.09,0.21,0
C J HOOKER MIDDLE SCHOOL,702,0.22,0.21,0
GANANDA MIDDLE SCHOOL,248,0.07,0.21,0
GILLETTE ROAD MIDDLE SCHOOL,1248,0.10,0.21,0
GREENWICH JUNIOR-SENIOR HIGH SCHOOL,509,0.03,0.22,0
CENTER MORICHES MIDDLE SCHOOL,388,0.23,0.22,0
QUEENSBURY MIDDLE SCHOOL,830,0.07,0.22,0
TULLY JUNIOR-SENIOR HIGH SCHOOL,507,0.05,0.22,0
SCHALMONT MIDDLE SCHOOL,613,0.08,0.23,0
HONEOYE MIDDLE/HIGH SCHOOL,401,0.02,0.23,0
LANSING MIDDLE SCHOOL,354,0.12,0.23,0
LAKE GEORGE JUNIOR-SENIOR HIGH SCHOOL,468,0.05,0.24,0
TUCKAHOE MIDDLE SCHOOL,219,0.31,0.24,0
GREENVILLE MIDDLE SCHOOL,285,0.05,0.24,0
SCOTIA-GLENVILLE MIDDLE SCHOOL,608,0.08,0.24,0
SCHUYLERVILLE MIDDLE SCHOOL,440,0.05,0.25,0
FABIUS-POMPEY MIDDLE SCHOOL HIGH SCHOOL,438,0.03,0.25,0
LE ROY JUNIOR-SENIOR HIGH SCHOOL,575,0.06,0.25,0
COOPERSTOWN JUNIOR/SENIOR HIGH SCHOOL,440,0.06,0.25,0
HAMILTON JUNIOR-SENIOR HIGH SCHOOL,281,0.05,0.25,0
